attribute1, attribute2,target
2.4000,-3.4800,-0.21600000000000008
2.0400,3.6900,1.1099999999999999
1.1900,0.9700,0.311
-3.1000,-2.1400,-1.5979999999999999
-3.8100,-1.6800,-1.719
-1.6200,1.4700,-0.432
0.2100,1.2000,0.063
2.8900,1.3800,0.903
0.1000,1.5100,0.09200000000000005
-3.3700,-2.0700,-1.6649999999999998
3.0300,-0.1900,0.6309999999999999
-2.6200,-3.1600,-1.6580000000000001
2.9900,3.7100,1.399
0.6600,-1.7100,-0.384
-1.9100,-2.0800,-1.229
-1.9800,0.5300,-0.728
0.6300,-3.6800,-0.7870000000000001
2.8900,1.4100,0.909
3.3400,1.7900,1.12
-2.1000,1.0000,-0.6699999999999999
-2.2300,-2.5600,-1.4209999999999998
-0.0800,3.8700,0.51
0.2100,0.4300,-0.09099999999999998
2.5900,-3.8700,-0.2370000000000001
-3.4000,-0.7300,-1.406
3.9700,0.2500,1.0010000000000001
-1.9500,-2.7900,-1.383
-0.3100,-3.7300,-1.079
0.8800,2.0100,0.426
3.1500,-0.3600,0.633
-0.6500,3.6500,0.295
-1.9200,0.4700,-0.722
-0.3100,-3.9800,-1.129
-1.0900,1.7500,-0.21699999999999992
0.3100,3.6800,0.5890000000000001
2.5700,1.9200,0.9149999999999999
0.9600,3.6800,0.784
2.1500,1.3400,0.6729999999999999
0.5700,1.9700,0.325
3.7400,3.9500,1.6720000000000002
-0.9600,0.7900,-0.37
2.0500,-3.7500,-0.3750000000000001
1.9400,3.3500,1.012
-0.4100,2.6100,0.15900000000000003
-1.1800,-2.9500,-1.1840000000000002
-2.3700,-2.7200,-1.495
-0.7100,-1.2600,-0.705
3.1800,0.2500,0.764
3.0300,-0.5200,0.565
2.7300,-2.2600,0.127
-1.4500,0.0000,-0.675
0.5200,-2.7600,-0.6359999999999999
-3.1100,-0.4100,-1.2550000000000001
2.9400,-3.2700,-0.01200000000000001
-2.7900,-2.2100,-1.519
3.4300,-2.8000,0.22899999999999998
-1.2100,-0.1700,-0.637
-0.8400,3.7600,0.26
0.2500,-1.4500,-0.45499999999999996
1.1200,-3.7300,-0.6499999999999999
-2.6100,0.7100,-0.8809999999999999
-1.9000,-1.2800,-1.0659999999999998
2.5600,2.7700,1.082
3.6200,-1.5400,0.538
-3.1500,3.1800,-0.5489999999999999
2.5700,2.6600,1.063
2.7300,0.8100,0.741
-3.6300,-1.6900,-1.667
3.8500,2.5700,1.429
-1.0100,1.0400,-0.3349999999999999
-3.0000,-0.5600,-1.252
-3.2400,-0.6800,-1.3479999999999999
-1.5100,-1.9700,-1.087
-3.1100,2.5100,-0.671
-2.7600,2.2800,-0.6120000000000001
-0.7600,0.0300,-0.46199999999999997
-1.4500,0.4000,-0.595
1.2600,0.6500,0.268
-2.4800,1.5500,-0.6739999999999999
-3.6300,1.1800,-1.093
2.5500,-0.7200,0.3809999999999999
-0.4400,1.1500,-0.14200000000000002
-0.2000,1.3000,-0.03999999999999998
2.9600,-0.6900,0.51
-2.1700,0.8300,-0.7249999999999999
3.6300,2.3900,1.327
-0.0900,-2.3900,-0.7450000000000001
-1.3300,-2.3400,-1.107
3.7100,1.2800,1.129
1.6700,-0.2800,0.20500000000000002
-1.9900,-3.0500,-1.447
1.6800,-3.6300,-0.46199999999999997
-0.4800,0.3800,-0.308
-2.7900,-3.1300,-1.7029999999999998
-3.4700,0.9200,-1.097
-2.8900,3.7700,-0.353
-1.7800,2.4800,-0.278
-2.6200,-3.7000,-1.766
-2.7600,3.5400,-0.36
-3.5900,2.5200,-0.813
1.0200,3.4000,0.746
-0.6000,-2.8300,-0.986
-2.1500,-2.4800,-1.3809999999999998
3.2300,-1.9500,0.33899999999999997
3.4600,2.0300,1.204
3.2100,2.9600,1.315
1.6800,3.7500,1.014
1.6400,-1.5700,-0.06200000000000011
-1.3000,-2.0300,-1.036
3.9300,-1.5100,0.637
-3.4700,-3.8400,-2.049
-0.8500,3.4200,0.18900000000000006
-2.4900,2.1300,-0.5609999999999999
2.8800,-2.3900,0.14599999999999996
-2.0300,3.0200,-0.24499999999999977
-1.0400,-2.7300,-1.098
-1.4500,-2.8400,-1.2429999999999999
-0.6900,1.2200,-0.20299999999999996
-0.1200,-2.7400,-0.8240000000000001
-1.1500,2.8400,-0.017000000000000015
-3.1800,1.2900,-0.9359999999999999
3.4600,1.8900,1.1760000000000002
0.7100,0.4000,0.05300000000000002
1.4600,-0.0300,0.192
-3.6100,-0.9600,-1.515
0.8300,-1.8800,-0.367
-0.8500,-3.2100,-1.137
0.4000,1.7200,0.22400000000000003
-1.8400,2.3200,-0.32800000000000007
-3.4000,-2.2300,-1.706
3.4000,2.0100,1.182
2.6900,1.7800,0.923
1.7400,-0.1400,0.254
-2.2600,-2.5300,-1.424
3.1400,1.5500,1.012
-2.0400,-1.3600,-1.124
-3.5200,-2.9400,-1.884
-3.4700,-3.7200,-2.025
1.9600,-0.0500,0.33799999999999997
-2.4300,0.0800,-0.953
0.7600,-0.8800,-0.18800000000000003
1.0900,-0.1600,0.05500000000000002
2.7800,1.1800,0.83
1.3900,1.8100,0.539
-0.0700,0.3600,-0.189
3.8100,3.1300,1.529
-2.0400,-0.1800,-0.888
-2.3700,-3.4000,-1.631
2.3200,3.2300,1.1019999999999999
2.9700,1.8300,1.0170000000000001
1.6000,0.1300,0.266
0.1100,-3.5000,-0.907
1.7800,-1.6300,-0.03199999999999997
-1.1200,-1.3700,-0.8500000000000001
1.5600,-0.6800,0.09199999999999997
1.4100,2.3200,0.647
-3.3900,-1.2600,-1.509
1.5800,0.7600,0.386
-3.7200,1.3600,-1.084
3.9800,-1.7700,0.5999999999999999
0.3100,-2.3200,-0.611
2.7900,-1.0400,0.38899999999999996
-1.1800,0.2800,-0.5379999999999999
0.1200,-3.8300,-0.97
-1.2600,2.0900,-0.2
1.5200,-1.3600,-0.05600000000000005
1.6800,-2.7600,-0.2879999999999999
-0.6600,-2.7200,-0.982
3.2500,1.2700,0.989
2.3700,3.9600,1.263
2.5900,-2.1200,0.11299999999999988
3.8100,2.1600,1.335
-0.9200,2.4900,-0.01799999999999996
-2.7800,-2.7300,-1.6199999999999999
3.3200,-3.8100,-0.006000000000000116
2.2300,-0.6400,0.30099999999999993
1.0700,-0.5200,-0.022999999999999993
-3.7800,2.2300,-0.9279999999999999
-1.2100,0.9800,-0.407
1.7000,3.5700,0.984
2.6300,3.0800,1.165
0.4500,3.3700,0.5690000000000001
-3.2600,-0.5500,-1.328
3.2400,-1.5100,0.42999999999999994
2.1600,-0.6800,0.272
0.0600,-0.3300,-0.28800000000000003
-1.4400,1.3100,-0.4099999999999999
-1.9600,-3.3600,-1.5
2.8800,-2.9600,0.03200000000000003
-1.3400,-2.5700,-1.1560000000000001
0.3200,0.1300,-0.118
-3.5300,0.3700,-1.2249999999999999
-1.5500,1.1000,-0.48499999999999993
-2.9000,1.4000,-0.8299999999999998
2.2300,-1.6700,0.09499999999999992
-2.0600,-3.5300,-1.564
-0.1100,1.1900,-0.03500000000000003
3.2700,-1.0000,0.5409999999999999
4.0000,-2.0500,0.55
1.6700,2.0600,0.673
0.7400,-3.7900,-0.776
-0.1800,2.1300,0.132
-0.3900,3.9200,0.42700000000000005
-0.8500,1.9800,-0.09899999999999998
-1.9400,2.5700,-0.30799999999999994
2.2700,-1.5900,0.12299999999999989
-1.6500,-0.0800,-0.7509999999999999
3.5300,-2.8500,0.2489999999999999
1.8200,2.3600,0.778
-3.9000,1.3400,-1.142
1.9000,-0.6300,0.20399999999999996
0.8800,2.6300,0.55
-1.2000,-3.9000,-1.38
-2.2700,-3.2600,-1.573
2.4100,-2.7800,-0.07299999999999995
-3.6700,-3.6600,-2.073
-2.5200,-3.8900,-1.774
-1.0800,3.5500,0.1459999999999999
1.6200,3.7600,0.998
-1.6500,2.4800,-0.23899999999999988
2.6900,2.2800,1.023
-0.8600,3.8300,0.268
2.9000,2.6000,1.15
2.0600,-1.9900,-0.020000000000000018
-0.5800,2.4200,0.07
-0.4400,1.6800,-0.035999999999999976
-0.3200,-0.3300,-0.40199999999999997
0.7600,-0.8600,-0.18400000000000002
-2.9700,3.7100,-0.389
1.2600,2.0300,0.544
-3.8000,-2.0300,-1.7859999999999998
3.9000,3.7900,1.688
-2.4900,-2.9600,-1.579
2.4500,-0.7900,0.33699999999999997
-1.9900,-1.3300,-1.103
-3.1400,-2.1000,-1.6019999999999999
3.3900,3.4800,1.4729999999999999
-1.2400,3.9300,0.17400000000000004
3.4900,-2.0000,0.4069999999999999
1.8200,-2.6400,-0.22199999999999998
3.3800,1.0400,0.982
-1.2700,0.6100,-0.499
2.8500,0.7300,0.761
2.5600,3.5000,1.2280000000000002
2.3800,0.4100,0.5559999999999999
-2.5600,2.2900,-0.55
0.6900,0.3300,0.033
1.3600,0.9000,0.3480000000000001
2.2900,-1.5400,0.1389999999999999
3.0800,-0.9900,0.48599999999999993
-3.7400,-2.4700,-1.856
-1.1300,-2.4400,-1.067
-3.4000,-0.7400,-1.408
0.2400,-1.1700,-0.40199999999999997
-2.8000,2.2500,-0.6300000000000001
2.5100,-3.9500,-0.27700000000000014
-3.9300,1.4400,-1.131
-1.8100,-1.0300,-0.9890000000000001
0.2400,2.1100,0.254
3.8900,-0.3500,0.8570000000000001
-0.0800,3.2000,0.3760000000000001
0.4700,1.0400,0.10900000000000001
1.7500,-0.7200,0.14100000000000004
2.0600,-2.1600,-0.05400000000000005
0.0900,-2.1400,-0.641
2.3900,0.8700,0.651
0.9300,-3.1600,-0.5930000000000001
1.9200,3.4800,1.032
3.3300,2.2600,1.2109999999999999
-3.3000,0.7900,-1.072
2.7600,-0.6200,0.46399999999999997
-2.7600,0.9100,-0.886
-0.7400,3.0800,0.15400000000000014
1.1000,-3.4400,-0.5980000000000001
0.0300,-1.8100,-0.593
-2.4500,3.5200,-0.2709999999999999
-2.6400,2.0000,-0.632
0.9500,3.4800,0.7410000000000001
0.6700,0.0600,-0.02699999999999998
-3.7100,-0.1900,-1.391
1.8100,1.4300,0.589
2.9100,2.5600,1.145
-3.2900,2.1800,-0.7909999999999998
0.6900,1.6000,0.28700000000000003
2.8100,-2.8400,0.03500000000000003
3.6300,-2.6600,0.31699999999999995
-2.5500,1.5200,-0.7009999999999998
-3.9500,3.5900,-0.7070000000000001
1.7500,-0.1500,0.255
2.0800,2.2500,0.8340000000000001
-1.7000,3.9900,0.04800000000000004
3.7700,3.5400,1.5990000000000002
-2.2000,-2.7000,-1.44
-0.8100,-1.3800,-0.7589999999999999
-2.4400,1.4800,-0.6759999999999999
1.8100,-3.8900,-0.475
-0.0600,0.7600,-0.10599999999999998
-3.3600,2.7200,-0.704
0.7000,0.4100,0.052000000000000005
1.9000,-1.4600,0.03799999999999998
0.2300,-3.7700,-0.925
1.9000,-0.2300,0.284
1.0800,2.5900,0.6020000000000001
2.6800,-0.0500,0.554
-3.6200,1.8000,-0.966
2.4700,3.9100,1.283
1.5300,-0.2600,0.16699999999999998
3.6100,3.2400,1.491
-1.8500,0.7600,-0.643
-0.1900,-0.4800,-0.393
3.9300,1.8800,1.315
2.1900,-1.1300,0.19099999999999995
-2.8700,3.9500,-0.31099999999999994
3.2000,0.2300,0.766
-3.6100,-1.2000,-1.563
-2.4500,-0.0900,-0.993
-1.1500,3.4800,0.1110000000000001
3.3700,1.8300,1.137
0.6000,2.5400,0.448
-1.5500,-0.2600,-0.757
-3.6500,0.7000,-1.195
3.9300,-1.6300,0.613
3.7900,-2.3900,0.419
3.5500,-2.4900,0.3269999999999999
3.7300,2.9700,1.473
-0.1400,0.8100,-0.11999999999999994
-3.1600,3.8700,-0.4139999999999999
1.5400,3.7000,0.9620000000000001
-3.2700,2.6400,-0.6930000000000001
-3.0800,-2.1300,-1.5899999999999999
-2.0300,-0.6000,-0.9689999999999999
-1.2900,-1.9400,-1.0150000000000001
-0.9000,1.3200,-0.246
-2.6200,0.1600,-0.994
-1.6500,3.1800,-0.09899999999999975
1.4000,-1.2600,-0.07200000000000001
2.6000,-1.1700,0.30600000000000005
-1.1400,2.4400,-0.09399999999999997
2.8900,-3.9400,-0.16100000000000003
-0.5800,1.7200,-0.06999999999999995
0.0200,1.3500,0.03600000000000003
-3.6500,-3.1100,-1.9569999999999999
-2.1700,-3.1800,-1.5270000000000001
-0.4700,-2.1200,-0.805
0.6100,0.4400,0.031000000000000014
-3.2100,-1.7300,-1.549
-1.8000,-3.3600,-1.452
-0.0200,2.7400,0.30200000000000005
2.6900,3.4400,1.255
-1.2900,-2.3400,-1.095
-0.8400,-2.9100,-1.074
-2.2100,2.6600,-0.3709999999999999
-2.1800,-3.9600,-1.686
3.7800,-1.7100,0.5519999999999998
3.9900,-3.8400,0.18900000000000006
-1.9200,1.0300,-0.6099999999999999
0.3200,-1.9000,-0.524
-0.9600,2.1500,-0.09800000000000003
-1.3900,1.3400,-0.389
-1.9400,3.0500,-0.21199999999999997
0.1500,1.9500,0.195
-0.1900,1.1500,-0.067
1.2200,-2.3500,-0.34400000000000003
2.9400,-2.7400,0.09399999999999997
3.9100,-0.5100,0.8310000000000001
1.8100,2.3300,0.7690000000000001
-2.3800,-1.8400,-1.322
1.5100,-0.6400,0.08499999999999996
2.4300,-1.4000,0.20900000000000002
-1.4800,-3.5600,-1.396
1.9100,-1.8000,-0.02700000000000008
3.1500,0.5000,0.8049999999999999
-2.4100,3.2300,-0.31699999999999995
-1.7200,-0.2200,-0.8
1.1400,-3.4000,-0.5780000000000001
-0.2600,0.8500,-0.148
1.8200,-3.0300,-0.29999999999999993
0.4300,0.0800,-0.09499999999999999
1.7500,-3.4200,-0.399
3.7800,-0.3200,0.8299999999999998
2.9900,3.0000,1.2570000000000001
2.8000,1.8000,0.96
-1.0800,0.4600,-0.47200000000000003
1.5900,3.4400,0.925
-0.5900,0.0100,-0.415
-2.6300,-2.1500,-1.4589999999999999
-3.7400,-2.4900,-1.86
-1.5400,1.6700,-0.36799999999999994
3.5200,-3.9500,0.026000000000000023
3.9500,0.8000,1.105
-0.6000,2.3600,0.05199999999999999
0.7700,3.2300,0.637
1.1900,-1.5300,-0.18900000000000006
-0.8000,0.4100,-0.39799999999999996
-0.8700,-2.3000,-0.961
3.7100,-1.5400,0.565
-3.1100,-3.3400,-1.8410000000000002
3.7200,-2.1000,0.45600000000000007
3.7300,-0.1400,0.851
-0.2100,-1.0200,-0.507
2.4700,-2.8600,-0.07099999999999995
-1.7200,3.8100,0.006000000000000005
-1.7500,-1.2300,-1.0110000000000001
0.4400,-3.1000,-0.7280000000000001
0.7000,2.0400,0.378
-1.5600,0.3000,-0.6479999999999999
1.3500,3.6100,0.887
-2.3000,3.7200,-0.18599999999999983
3.6700,3.5500,1.571
-1.2500,-0.9800,-0.8109999999999999
2.2500,2.3200,0.8989999999999999
2.7900,-2.6400,0.06899999999999995
0.0800,-1.9000,-0.596
2.4300,2.5100,0.991
-0.6300,3.4700,0.26500000000000007
-0.5000,0.3600,-0.318
-3.1300,-3.0200,-1.783
3.7600,-1.3800,0.6119999999999999
2.7900,-0.5400,0.489
0.8800,1.7300,0.37000000000000005
-0.9900,0.2800,-0.4809999999999999
0.6300,0.3600,0.021000000000000005
2.8600,1.8200,0.982
-1.8100,3.2300,-0.137
0.6800,2.1400,0.39200000000000007
1.2900,3.3700,0.8210000000000001
1.7200,-0.6700,0.14200000000000002
-2.3700,-3.3100,-1.613
2.2900,0.9300,0.633
0.8500,2.2100,0.457
-3.4000,-1.4800,-1.556
1.5200,-1.7300,-0.13000000000000006
2.4800,-0.3800,0.428
-2.1100,-1.1400,-1.101
3.5800,1.0900,1.052
-1.4500,0.6900,-0.537
1.7800,-2.1100,-0.12799999999999995
1.5900,-0.8500,0.06699999999999998
-2.2700,-1.7900,-1.279
0.8100,-0.1400,-0.025
3.3600,-3.2500,0.118
-1.9200,-0.6500,-0.946
2.7900,3.9800,1.393
-0.3800,-3.2500,-1.004
-2.1400,-3.8600,-1.654
1.5100,0.3700,0.287
2.6100,-2.3200,0.07899999999999996
-3.1400,-0.1100,-1.204
0.9300,-2.9200,-0.5449999999999999
-3.8700,1.0800,-1.185
2.2100,-2.6100,-0.09900000000000009
3.4300,-0.7700,0.6349999999999999
0.6100,2.5800,0.459
1.9500,3.9800,1.141
3.8600,-1.7800,0.5619999999999998
2.2900,3.5400,1.155
-1.2700,-2.5300,-1.127
-2.2400,-2.2400,-1.36
3.6500,1.2400,1.103
-1.1500,-3.9300,-1.371
3.8300,3.4200,1.593
-2.9300,2.5100,-0.617
1.3600,3.2100,0.81
3.7500,3.6900,1.623
-3.1300,-0.7700,-1.3329999999999997
-1.6500,-0.6400,-0.8629999999999999
3.9800,-0.9200,0.7699999999999999
1.3700,-2.4500,-0.319
0.8400,0.8000,0.17200000000000004
-3.9200,-2.0600,-1.8279999999999998
1.2000,-1.7600,-0.23200000000000004
2.4500,-1.3600,0.22299999999999998
2.7100,3.1200,1.197
1.4100,-2.6300,-0.343
0.0800,-1.0100,-0.41800000000000004
-3.2900,-2.7300,-1.773
1.3500,3.7800,0.921
3.3700,2.5600,1.283
-2.8100,2.6500,-0.5529999999999999
-0.9500,3.3000,0.13500000000000012
-3.3400,-1.3500,-1.512
2.3700,3.4300,1.157
-0.8500,-3.0000,-1.0950000000000002
2.6400,-3.6500,-0.17799999999999994
-0.4000,-2.9500,-0.9500000000000001
-0.7000,2.6800,0.08600000000000008
3.2100,-0.5500,0.613
-3.0200,2.4900,-0.6479999999999999
-1.7100,1.0700,-0.5389999999999999
0.5400,2.5100,0.42400000000000004
3.2800,-1.2500,0.4939999999999999
-3.6800,0.7700,-1.19
-0.5100,-0.8800,-0.5690000000000001
-1.8000,-1.8700,-1.1540000000000001
-3.1200,-1.9200,-1.56
-2.8700,1.7600,-0.7489999999999999
-3.5400,-0.2000,-1.342
-3.1400,2.1100,-0.76
0.3900,1.4100,0.15899999999999997
1.5100,-3.1800,-0.42300000000000015
-1.5000,-3.8800,-1.466
3.5300,1.1900,1.057
0.7700,4.0000,0.791
-2.1300,3.0800,-0.2629999999999998
-1.1600,-0.7100,-0.73
3.1100,0.7700,0.847
-2.1300,1.0000,-0.6789999999999998
-1.8000,1.8100,-0.418
-2.5200,-2.5400,-1.504
1.5700,-0.6700,0.09699999999999998
1.9400,-2.7900,-0.21600000000000008
-3.2500,3.2500,-0.5649999999999998
-2.3400,-1.4800,-1.238
-0.8500,-0.5900,-0.613
3.4800,-3.8900,0.026000000000000023
-3.9200,-0.1700,-1.45
0.6600,2.5000,0.458
-3.8600,2.8700,-0.8239999999999998
3.6200,-3.6600,0.11399999999999999
3.5600,-0.2500,0.778
0.5100,2.7400,0.4610000000000001
-1.2700,1.3700,-0.347
3.4600,3.6300,1.524
2.3700,-1.1000,0.25099999999999995
0.6100,1.0900,0.16100000000000003
-2.1400,-0.2000,-0.922
-0.1600,0.5100,-0.18599999999999997
-2.6200,-1.5100,-1.328
3.5000,-3.6000,0.08999999999999997
-1.9900,3.1900,-0.19899999999999995
-1.6000,2.7600,-0.16800000000000004
-0.1200,-3.0200,-0.8800000000000001
3.8800,2.2400,1.3719999999999999
-0.0600,-2.5800,-0.774
3.7100,2.4700,1.367
3.9900,1.6800,1.2930000000000001
3.3600,0.1900,0.806
1.2900,-0.6300,0.02100000000000002
-0.3500,-0.4500,-0.435
0.8600,1.1300,0.244
-2.0700,-2.3600,-1.3329999999999997
2.8400,3.2700,1.266
2.8400,0.8500,0.782
0.1700,1.0700,0.025000000000000022
-2.7400,-3.2600,-1.714
0.4000,2.5800,0.396
-2.1000,1.7500,-0.52
-3.2400,2.3800,-0.736
-2.1300,-2.1000,-1.299
-3.1700,-3.6500,-1.9209999999999998
-2.0500,-3.3700,-1.529
-2.9400,3.2000,-0.48199999999999976
1.1900,2.1500,0.5469999999999999
-3.7000,-3.3000,-2.0100000000000002
3.2200,-0.4200,0.642
2.9500,-2.5800,0.129
1.5600,-1.5700,-0.08600000000000008
-3.2600,0.6100,-1.096
2.2700,-2.4200,-0.04300000000000004
-3.9800,-3.2700,-2.088
1.3200,3.1600,0.7880000000000001
-3.5600,0.1800,-1.272
-3.1400,-3.8500,-1.952
2.4000,1.7700,0.8340000000000001
-2.4200,-2.0900,-1.384
-3.2000,-1.9300,-1.5859999999999999
0.3300,2.7700,0.41300000000000003
0.0200,3.7700,0.52
1.4900,3.6100,0.929
-0.2000,-1.7600,-0.652
-1.5700,-3.7200,-1.455
3.6300,-2.4400,0.361
0.8200,1.6800,0.34199999999999997
1.8300,-1.8700,-0.065
2.6500,-0.3200,0.49099999999999994
2.1100,-0.3600,0.3209999999999999
3.3300,2.7200,1.303
-1.1300,1.1900,-0.34099999999999997
3.5700,-3.7300,0.08499999999999996
-2.0100,1.7600,-0.4909999999999998
3.9000,-2.7000,0.3899999999999999
-1.6100,1.9900,-0.32499999999999996
-2.0000,2.4800,-0.344
-1.0500,-0.4900,-0.6529999999999999
-1.4000,-1.0200,-0.8639999999999999
-2.4100,3.4700,-0.2689999999999999
-1.5800,-1.4900,-1.012
-3.4600,0.1900,-1.24
-3.3900,2.1800,-0.8209999999999998
-1.6700,-2.3100,-1.203
-3.8500,-1.6900,-1.733
-0.9300,-1.4700,-0.813
-3.6200,0.0600,-1.314
2.0500,1.5800,0.691
1.3200,3.2700,0.81
2.6900,0.0400,0.575
1.3500,2.1100,0.587
3.3900,0.5600,0.8889999999999999
-1.8200,1.0700,-0.5720000000000001
2.7100,0.0100,0.575
-2.2600,-2.0400,-1.326
2.2200,0.2100,0.468
-3.8800,3.5900,-0.6859999999999999
-1.3300,-3.7200,-1.383
1.2000,-3.1600,-0.5120000000000001
2.2600,1.5000,0.738
-1.1500,2.4500,-0.09499999999999992
-2.0900,0.9300,-0.6809999999999998
-3.9100,2.8800,-0.8370000000000001
-2.6700,2.2400,-0.5929999999999999
1.3700,-3.6400,-0.557
0.7400,-1.5800,-0.3340000000000001
2.5700,-3.8500,-0.2390000000000001
-0.3300,-1.7900,-0.6970000000000001
-2.1100,-0.1400,-0.9009999999999999
3.4300,-3.9800,-0.007000000000000117
-2.4900,1.8200,-0.623
-3.5400,0.4400,-1.214
0.1600,-1.4000,-0.472
2.7000,-3.1400,-0.05800000000000005
-1.3000,-2.0400,-1.038
4.0000,3.2700,1.6139999999999999
-1.4100,1.4300,-0.37700000000000006
1.4500,1.5400,0.5030000000000001
-3.9100,-1.8600,-1.7850000000000001
0.8600,3.0700,0.632
-0.6700,0.1200,-0.417
-0.0900,0.2600,-0.21500000000000002
2.6400,-3.7100,-0.18999999999999995
2.1300,-1.4700,0.10499999999999993
0.7700,0.4400,0.079
0.6200,0.0100,-0.05199999999999999
-1.2200,-2.6000,-1.126
-3.8100,2.1900,-0.9450000000000001
-0.7600,3.4000,0.21200000000000008
3.1300,-2.8400,0.131
3.4900,-1.3000,0.5469999999999999
-1.4100,1.1700,-0.42900000000000005
-4.0000,-3.2000,-2.08
-3.2300,2.1800,-0.773
3.7400,0.8100,1.044
-3.3600,2.3900,-0.77
-0.8000,1.8200,-0.11599999999999994
1.3500,-3.5200,-0.539
1.9800,1.1500,0.584
-2.4500,-1.7600,-1.327
1.6400,0.7100,0.3939999999999999
3.5900,3.8100,1.599
0.1400,-0.7800,-0.354
2.5400,-1.7700,0.16799999999999998
-2.4300,-1.2800,-1.225
3.9800,-2.8800,0.378
-2.9300,2.5100,-0.617
-2.2200,-0.6500,-1.036
-3.8600,-1.4800,-1.694
-2.7200,-2.6900,-1.594
-2.2700,1.7500,-0.571
-2.0800,3.0600,-0.2519999999999999
-0.6300,1.4500,-0.139
0.2500,-0.6300,-0.291
2.4500,2.5900,1.013
1.2000,-0.0200,0.11599999999999999
-2.1600,1.4500,-0.5980000000000001
-0.6900,3.1400,0.18100000000000016
0.7800,-3.1800,-0.6420000000000001
-3.4900,3.2100,-0.6449999999999999
1.8100,-3.8600,-0.469
0.7100,0.0400,-0.018999999999999996
3.5600,-2.0700,0.4140000000000001
2.4900,0.3700,0.581
0.3000,-0.4800,-0.246
-2.6800,2.6700,-0.51
1.6600,2.9100,0.8400000000000001
-3.3500,0.4500,-1.1549999999999998
-1.8800,-1.2800,-1.06
-3.4800,-0.3600,-1.356
-3.9600,-1.8300,-1.794
0.2000,3.5800,0.536
3.8300,-1.4700,0.615
